CGI_10000456	GO:0016782~transferase activity, transferring sulfur-containing groups
CGI_10018239	GO:0001883~purine nucleoside binding
CGI_10018239	GO:0032559~adenyl ribonucleotide binding
CGI_10018239	GO:0032549~ribonucleoside binding
CGI_10018239	GO:0030554~adenyl nucleotide binding
CGI_10020143	GO:0043167~ion binding
CGI_10020143	GO:0016835~carbon-oxygen lyase activity
CGI_10011858	GO:0004383~guanylate cyclase activity
CGI_10011858	GO:0000166~nucleotide binding
CGI_10020671	GO:1901363~heterocyclic compound binding
CGI_10020671	GO:0036094~small molecule binding
CGI_10020671	GO:0032553~ribonucleotide binding
CGI_10020200	GO:0005230~extracellular ligand-gated ion channel activity
CGI_10013822	GO:0008270~zinc ion binding
CGI_10018259	GO:0036094~small molecule binding
CGI_10018259	GO:0004345~glucose-6-phosphate dehydrogenase activity
CGI_10014782	GO:0003735~structural constituent of ribosome
CGI_10014781	GO:0022834~ligand-gated channel activity
CGI_10014781	GO:0004872~receptor activity
CGI_10006566	GO:0008146~sulfotransferase activity
CGI_10006565	GO:0008146~sulfotransferase activity
CGI_10008424	GO:0008641~small protein activating enzyme activity
CGI_10018739	GO:0016811~hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides
CGI_10024513	GO:0099600~transmembrane receptor activity
CGI_10024526	GO:0097159~organic cyclic compound binding
CGI_10008682	GO:0009881~photoreceptor activity
CGI_10003650	GO:0060089~molecular transducer activity
CGI_10003650	GO:0004871~signal transducer activity
CGI_10007216	GO:0070011~peptidase activity, acting on L-amino acid peptides
CGI_10024514	GO:0004871~signal transducer activity
CGI_10024520	GO:0000166~nucleotide binding
CGI_10024520	GO:0032559~adenyl ribonucleotide binding
CGI_10024520	GO:0035639~purine ribonucleoside triphosphate binding
CGI_10024520	GO:1901363~heterocyclic compound binding
CGI_10024520	GO:0005524~ATP binding
CGI_10024546	GO:1901363~heterocyclic compound binding
CGI_10003650	GO:0004872~receptor activity
CGI_10011200	GO:0008448~N-acetylglucosamine-6-phosphate deacetylase activity
CGI_10017351	GO:0016757~transferase activity, transferring glycosyl groups
CGI_10001460	GO:0046914~transition metal ion binding
CGI_10001461	GO:0046914~transition metal ion binding
CGI_10022290	GO:0016874~ligase activity
CGI_10001664	GO:0043167~ion binding
CGI_10023887	GO:0070011~peptidase activity, acting on L-amino acid peptides
CGI_10019487	GO:0032550~purine ribonucleoside binding
CGI_10006397	GO:0003676~nucleic acid binding
CGI_10006397	GO:0008237~metallopeptidase activity
CGI_10006397	GO:0043167~ion binding
CGI_10006290	GO:0000339~RNA cap binding
CGI_10010298	GO:0032549~ribonucleoside binding
CGI_10006772	GO:0036094~small molecule binding
CGI_10008726	GO:1901363~heterocyclic compound binding
CGI_10008726	GO:0046872~metal ion binding
CGI_10017351	GO:0008378~galactosyltransferase activity
CGI_10019487	GO:0032559~adenyl ribonucleotide binding
CGI_10023887	GO:0008233~peptidase activity
CGI_10023915	GO:0052689~carboxylic ester hydrolase activity
CGI_10018971	GO:0046872~metal ion binding
CGI_10018979	GO:0099600~transmembrane receptor activity
CGI_10003279	GO:0016746~transferase activity, transferring acyl groups
CGI_10010298	GO:0017076~purine nucleotide binding
